
x: 0,0000: |	|y: 0.0|	|v: 0.0|	|deltaY: 0.0|	|deltaV: 0.0
x: 0,9022: |	|y: 0.8139234292764428|	|v: 1.8043501731965024|	|deltaY: 5.659900261245632E-6|	|deltaV: 2.347109545830506E-6

x: 0,9130: |	|y: 0.8336540783028716|	|v: 1.8260893227397395|	|deltaY: 5.685108164565911E-6|	|deltaV: 2.366218000204867E-6

x: 0,9239: |	|y: 0.8536210224349471|	|v: 1.8478284722088614|	|deltaY: 5.71052568432151E-6|	|deltaV: 2.3852523396428182E-6

x: 0,9348: |	|y: 0.8738242616718506|	|v: 1.8695676216063062|	|deltaY: 5.7361520017229495E-6|	|deltaV: 2.404215001750032E-6

x: 0,9457: |	|y: 0.8942637960127902|	|v: 1.8913067709344527|	|deltaY: 5.761986325181212E-6|	|deltaV: 2.42310836573445E-6

x: 0,9565: |	|y: 0.914939625457|	|v: 1.9130459201956223|	|deltaY: 5.788027888420366E-6|	|deltaV: 2.4419347526283275E-6

x: 0,9674: |	|y: 0.9358517500037394|	|v: 1.9347850693920805|	|deltaY: 5.814275951032677E-6|	|deltaV: 2.4606964281748134E-6

x: 0,9783: |	|y: 0.9570001696522926|	|v: 1.9565242185260394|	|deltaY: 5.8407297973683825E-6|	|deltaV: 2.4793956046043064E-6

x: 0,9891: |	|y: 0.9783848844019679|	|v: 1.9782633675996582|	|deltaY: 5.867388735314449E-6|	|deltaV: 2.4980344406344557E-6

x: 1,0000: |	|y: 1.000005894252097|	|v: 2.0000025166150452|	|deltaY: 5.894252097071728E-6|	|deltaV: 2.5166150452449187E-6
